SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,6,01,001,Alabama,Autauga County,58805,58914,59207,59755,60502,61476,61920,109,293,548,747,974,444,165,702,732,725,727,730,177,700,710,570,604,599,-12,2,22,155,123,131,0,15,41,102,135,66,102,218,511,492,717,245,102,233,552,594,852,311,19,58,-26,-2,-1,2,484,484,459,467,484,502,489,11.88611678,12.3064508,12.05751017,11.92018233,11.83182599,11.8522532,11.93658479,9.479697648,9.903425208,9.708580505,0.033863581,0.369866008,2.577812518,2.01675712,2.123245486,0.253976854,0.689295742,1.696366948,2.213513912,1.069726733,3.691130282,8.590978632,8.182475864,11.75621833,3.970955298,3.945107136,9.280274373,9.878842812,13.96973225,5.040682032
050,3,6,01,003,Alabama,Baldwin County,231778,233252,239450,246703,254193,261652,267761,1474,6198,7253,7490,7459,6109,558,2327,2449,2622,2467,2477,585,2934,3051,2772,2735,2749,-27,-607,-602,-150,-268,-272,13,104,592,904,1228,404,1614,7039,6880,6581,6397,6012,1627,7143,7472,7485,7625,6416,-126,-338,383,155,102,-35,3555,3452,3296,3388,3449,3508,3547,9.845526357,10.07501754,10.46923912,9.564888678,9.357533721,12.41374058,12.55160413,11.06816585,10.60396049,10.38508688,-2.568214224,-2.476586589,-0.598926723,-1.039071814,-1.027553158,0.440023524,2.435447277,3.609531719,4.761120104,1.526218661,29.78197681,28.30384673,26.27691177,24.80202386,22.71194701,30.22200033,30.73929401,29.88644349,29.56314397,24.23816567
050,3,6,01,005,Alabama,Barbour County,25225,24958,24510,24744,24681,24520,24607,-267,-448,234,-63,-161,87,59,268,268,275,266,267,93,392,352,320,315,319,-34,-124,-84,-45,-49,-52,0,0,46,32,124,66,-190,-317,254,-42,-236,73,-190,-317,300,-10,-112,139,-43,-7,18,-8,0,0,2718,2475,2223,2697,2701,2661,2788,10.83528746,10.88236488,11.12797167,10.81278836,10.86978647,15.84862942,14.29325537,12.94891249,12.80461779,12.98674863,-5.013341958,-3.410890486,-1.820940819,-1.991829434,-2.116962159,0,1.8678686,1.294891249,5.040547956,2.68691351,-12.81636614,10.31388314,-1.699544765,-9.593300949,2.971889185,-12.81636614,12.18175174,-0.404653515,-4.552752993,5.658802695
050,3,6,01,007,Alabama,Bibb County,22285,22181,22346,21976,21881,22225,22262,-104,165,-370,-95,344,37,55,242,261,236,240,239,54,324,331,264,296,298,1,-82,-70,-28,-56,-59,0,1,4,6,39,23,-95,241,-315,-69,361,72,-95,242,-311,-63,400,95,-10,5,11,-4,0,1,2143,2072,1989,2019,1892,2089,2117,10.86980933,11.77744687,10.76225004,10.88287308,10.74471194,14.55296786,14.93614909,12.03912716,13.42221013,13.39717221,-3.683158533,-3.158702225,-1.276877123,-2.539337052,-2.652460269,0.044916568,0.18049727,0.273616526,1.768466875,1.034009936,10.82489276,-14.21416001,-3.146590054,16.36965492,3.236900668,10.86980933,-14.03366274,-2.872973528,18.1381218,4.270910603
050,3,6,01,009,Alabama,Blount County,59125,59099,59036,59450,59771,60173,60156,-26,-63,414,321,402,-17,137,648,681,693,675,680,203,885,879,757,771,770,-66,-237,-198,-64,-96,-90,1,9,27,33,87,-12,22,108,592,362,417,81,23,117,619,395,504,69,17,57,-7,-10,-6,4,616,616,581,595,612,612,615,10.97049985,11.49502895,11.62546867,11.25525245,11.30234607,14.98285859,14.83719596,12.69910502,12.85599947,12.79824481,-4.012358742,-3.342167007,-1.073636356,-1.600747015,-1.495898744,0.152368054,0.455750046,0.553593746,1.450676983,-0.199453166,1.828416642,9.992741759,6.072755639,6.953244848,1.34630887,1.980784696,10.44849181,6.626349385,8.40392183,1.146855704
050,3,6,01,011,Alabama,Bullock County,10357,10239,10128,10135,9898,9863,9780,-118,-111,7,-237,-35,-83,24,111,101,99,99,100,41,162,131,132,156,158,-17,-51,-30,-33,-57,-58,0,1,15,15,22,7,-85,-64,26,-220,-1,-33,-85,-63,41,-205,21,-26,-16,3,-4,1,1,1,1706,1644,1565,1629,1599,1632,1661,10.89998527,9.968908849,9.883691908,10.01973584,10.18174413,15.90808661,12.92997088,13.17825588,15.78867466,16.08715573,-5.00810134,-2.961062034,-3.294563969,-5.768938819,-5.905411597,0.098198066,1.480531017,1.497529077,2.226607965,0.712722089,-6.284676192,2.566253763,-21.9637598,-0.101209453,-3.359975564,-6.186478126,4.04678478,-20.46623072,2.125398512,-2.647253475
050,3,6,01,013,Alabama,Butler County,19044,19022,18856,18652,18372,18276,18100,-22,-166,-204,-280,-96,-176,47,228,203,197,191,190,87,292,327,280,291,299,-40,-64,-124,-83,-100,-109,0,5,11,6,33,14,13,-110,-84,-201,-30,-82,13,-105,-73,-195,3,-68,5,3,-7,-2,1,1,286,285,243,275,282,280,280,12.0386504,10.82435747,10.6417459,10.42348832,10.44644821,15.41792069,17.43628026,15.12532411,15.88081205,16.4394106,-3.379270289,-6.61192279,-4.48357822,-5.457323728,-5.992962393,0.264005491,0.586541538,0.324114088,1.80091683,0.769738289,-5.808120809,-4.479044471,-10.85782195,-1.637197119,-4.508467121,-5.544115318,-3.892502933,-10.53370787,0.163719712,-3.738728832
050,3,6,01,015,Alabama,Calhoun County,116439,116238,115640,115738,116341,116303,115834,-201,-598,98,603,-38,-469,310,1262,1361,1323,1247,1247,399,1855,1925,1686,1689,1689,-89,-593,-564,-363,-442,-442,0,12,51,79,155,37,-120,-123,655,893,261,-69,-120,-111,706,972,416,-32,8,106,-44,-6,-12,5,5636,5552,5341,5719,5910,5900,5679,10.88503437,11.76429911,11.40129008,10.72024209,10.74365569,15.999793,16.6394385,14.5295352,14.5200392,14.55175177,-5.114758623,-4.875139382,-3.128245123,-3.799797115,-3.808096081,0.103502704,0.440837072,0.680802658,1.332508038,0.318777274,-1.060902716,5.66173102,7.695655359,2.2437716,-0.594476538,-0.957400012,6.102568092,8.376458017,3.576279638,-0.275699264
050,3,6,01,017,Alabama,Chambers County,34696,34581,34420,34199,34363,34309,34253,-115,-161,-221,164,-54,-56,88,398,397,421,405,402,163,585,516,494,492,500,-75,-187,-119,-73,-87,-98,2,22,155,237,294,49,-50,-21,-246,6,-258,-9,-48,1,-91,243,36,40,8,25,-11,-6,-3,2,862,862,838,803,839,845,844,11.5360647,11.57113919,12.28085528,11.79520037,11.72661241,16.956276,15.0395663,14.41031475,14.32898416,14.58533882,-5.420211301,-3.468427112,-2.129459467,-2.533783784,-2.858726408,0.637671918,4.51769918,6.9134506,8.562441752,1.429363204,-0.608686831,-7.170025795,0.175024066,-7.513979497,-0.262536099,0.028985087,-2.652326615,7.088474665,1.048462255,1.166827105
050,3,6,01,019,Alabama,Cherokee County,24981,24978,25056,25318,25650,26088,26413,-3,78,262,332,438,325,62,256,231,205,201,198,122,440,460,418,405,411,-60,-184,-229,-213,-204,-213,0,7,14,36,42,26,58,250,467,499,585,511,58,257,481,535,627,537,-1,5,10,10,15,1,278,278,241,239,275,277,273,10.23304153,9.171397943,8.044263067,7.769917662,7.542713472,17.58804013,18.26338984,16.4024486,15.65580424,15.65684463,-7.354998601,-9.091991901,-8.358185528,-7.885886582,-8.114131159,0.279809729,0.5558423,1.412651075,1.623564885,0.990457325,9.993204621,18.54131099,19.58091351,22.61393946,19.46629588,10.27301435,19.09715329,20.99356459,24.23750435,20.45675321
