SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
050,3,5,13,001,Georgia,Appling County,18445,18376,18423,18437,18457,-69,47,14,20,39,203,215,207,72,263,270,238,-33,-60,-55,-31,0,2,10,34,-38,96,68,16,-38,98,78,50,2,9,-9,1,392,363,361,374,368,11.032908503,11.665762344,11.221336803,14.293866681,14.65002713,12.901826855,-3.260958178,-2.984264786,-1.680490053,0.1086986059,0.5425935974,1.8431181222,5.2175330851,3.6896364623,0.8673497046,5.3262316911,4.2322300597,2.7104678267
050,3,5,13,003,Georgia,Atkinson County,8286,8308,8348,8160,8293,22,40,-188,133,30,121,125,131,22,123,134,125,8,-2,-9,6,0,18,53,85,14,19,-234,41,14,37,-181,126,0,5,2,1,10,10,10,10,20,14.529298751,15.144172522,15.924147572,14.76945245,16.234552944,15.194797301,-0.240153698,-1.090380422,0.7293502705,2.1613832853,6.4211291495,10.332462165,2.2814601345,-28.34989096,4.9838935149,4.4428434198,-21.92876181,15.31635568
050,3,5,13,005,Georgia,Bacon County,11142,11112,11068,11173,11124,-30,-44,105,-49,33,161,140,133,46,181,175,166,-13,-20,-35,-33,0,2,2,2,-18,-31,136,-18,-18,-29,138,-16,1,5,2,0,265,265,260,330,391,14.517583408,12.589361989,11.929856034,16.321009919,15.736702486,14.889895502,-1.80342651,-3.147340497,-2.960039467,0.180342651,0.1798480284,0.1793963313,-2.795311091,12.229665932,-1.614566982,-2.61496844,12.409513961,-1.435170651
050,3,5,13,007,Georgia,Baker County,2875,2852,2824,2792,2743,-23,-28,-32,-49,8,19,29,27,14,39,48,43,-6,-20,-19,-16,0,0,1,5,-15,-9,-15,-38,-15,-9,-14,-33,-2,1,1,0,0,0,0,0,0,6.6948555321,10.327635328,9.756097561,13.742071882,17.094017094,15.537488708,-7.04721635,-6.766381766,-5.781391147,0,0.3561253561,1.8066847335,-3.171247357,-5.341880342,-13.73080397,-3.171247357,-4.985754986,-11.92411924
050,3,5,13,009,Georgia,Baldwin County,43789,43790,43695,43633,43396,1,-95,-62,-237,98,433,390,386,148,602,600,525,-50,-169,-210,-139,0,10,10,13,37,30,149,-110,37,40,159,-97,14,34,-11,-1,5254,5241,5101,5167,4892,9.8988398011,8.931843166,8.8706063496,13.762359262,13.741297178,12.064943869,-3.86351946,-4.809454012,-3.19433752,0.228610619,0.2290216196,0.298750991,0.6858318569,3.4124221326,-2.527893001,0.9144424759,3.6414437523,-2.22914201
050,3,5,13,011,Georgia,Banks County,18035,18081,18538,19342,19789,46,457,804,447,50,211,246,245,45,243,268,241,5,-32,-22,4,0,0,-2,0,44,509,783,444,44,509,781,444,-3,-20,45,-1,0,0,0,28,15,11.524072203,12.988384372,12.522041348,13.271798793,14.149947202,12.317599857,-1.74772659,-1.16156283,0.2044414914,0,-0.105596621,0,27.799776073,41.341077086,22.693005545,27.799776073,41.235480465,22.693005545
050,3,5,13,013,Georgia,Barrow County,83504,83981,86727,89245,92792,477,2746,2518,3547,241,1099,1141,1151,181,822,882,800,60,277,259,351,0,49,79,109,438,2508,2078,3087,438,2557,2157,3196,-21,-88,102,0,450,450,459,450,425,12.875787895,12.967972177,12.645780803,9.6304801181,10.024322051,8.7894219307,3.245307777,2.9436501262,3.8563588721,0.5740797151,0.8978701157,1.1975587381,29.383508681,23.617393676,33.916181875,29.957588397,24.515263792,35.113740613
050,3,5,13,015,Georgia,Bartow County,108897,109314,110936,112815,115041,417,1622,1879,2226,309,1313,1364,1326,317,1280,1291,1139,-8,33,73,187,1,43,71,79,436,1551,1691,1953,437,1594,1762,2032,-12,-5,44,7,1025,1025,1009,1020,1019,11.922814983,12.192124281,11.63892985,11.623155505,11.539613231,9.9975423074,0.2996594779,0.6525110502,1.641387543,0.3904653802,0.6346340352,0.6934204059,14.08399546,15.115016246,17.14240573,14.47446084,15.749650281,17.835826136
050,3,5,13,017,Georgia,Ben Hill County,17194,17168,17128,17057,17128,-26,-40,-71,71,51,201,206,211,64,324,291,273,-13,-123,-85,-62,0,4,4,4,-15,67,19,128,-15,71,23,132,2,12,-9,1,278,278,278,273,332,11.721483555,12.052069621,12.344595583,18.8943317,17.02501097,15.971917508,-7.172848146,-4.972941349,-3.627321925,0.2332633543,0.2340207693,0.2340207693,3.907161185,1.1115986544,7.488664619,4.1404245393,1.3456194237,7.7226853883
050,3,5,13,019,Georgia,Berrien County,18159,18144,18117,18215,18570,-15,-27,98,355,54,194,212,229,60,289,279,259,-6,-95,-67,-30,0,0,0,1,-13,55,161,387,-13,55,161,388,4,13,4,-3,150,125,136,136,136,10.700201318,11.670153033,12.450727199,15.939990624,15.358361775,14.081826832,-5.239789305,-3.688208742,-1.631099633,0,0,0.0543699878,3.0335622294,8.8627105582,21.041185266,3.0335622294,8.8627105582,21.095555254
