cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
035003,THE TERRACES OF PHOENIX,7550 NORTH 16TH STREET,PHOENIX,AZ,85020,6029444455,060,Maricopa,Non profit - Corporation,64,51.1,NA,Medicare and Medicaid,N,HUMANGOOD ARIZONA INC,1967-01-01,HUMANGOOD,274,17,4.2,3.5,4.6,4.2,Y,NA,N,N,N,Resident,Yes,5,NA,3,NA,5,NA,4,NA,5,NA,5,NA,NA,NA,2.50836,1.11282,1.18524,2.29806,4.80641,4.35631,0.83247,0.1068,29,NA,47.1,NA,2,NA,1.30986,0.94816,2.18368,0.82315,0.6426,3.64944,3.22753,2.631,1.16723,1.24319,5.04142,4.56931,2024-05-31,6,4,2,36,1,0,36,2023-02-02,6,3,3,24,1,0,24,33,2,1,NA,2,12618.94,0,2,"7550 NORTH 16TH STREET,PHOENIX,AZ,85020",33.5465,-112.05,NA,2025-07-01
035004,SANTA ROSA CARE CENTER,1650 NORTH SANTA ROSA AVENUE,TUCSON,AZ,85712,5207951610,090,Pima,For profit - Limited Liability company,144,113.8,NA,Medicare and Medicaid,N,"SRCV-ROSA, LLC.",1980-04-01,NA,NA,NA,NA,NA,NA,NA,N,NA,Y,N,N,Resident,Yes,2,NA,2,NA,4,NA,4,NA,NA,2,4,NA,NA,NA,3.27574,0.83138,0.42438,1.25576,4.5315,4.02896,0.43072,0.00763,54.3,NA,45.5,NA,0,NA,1.12995,0.81793,1.88374,0.71009,0.55434,3.14817,2.78421,3.98299,1.01089,0.516,5.50987,4.89883,2023-10-27,12,6,6,60,1,0,60,2022-09-01,8,5,7,60,1,0,60,60,15,14,0,0,0,0,0,"1650 NORTH SANTA ROSA AVENUE,TUCSON,AZ,85712",32.2426,-110.89,NA,2025-07-01
035014,DESERT TERRACE HEALTHCARE CENTER,2509 NORTH 24TH STREET,PHOENIX,AZ,85008,6022731347,060,Maricopa,For profit - Corporation,108,92.3,NA,Medicare and Medicaid,N,24TH STREET HEALTHCARE ASSOCIATES LLC,1972-08-01,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,1.71408,0.81328,0.62301,1.43629,3.15036,2.55158,0.46532,0.05937,60,NA,58.8,NA,0,NA,1.20799,0.87442,2.01385,0.75913,0.59262,3.3656,2.97651,1.94951,0.92498,0.70858,3.58307,2.90204,2023-10-20,4,1,3,16,1,0,16,2022-09-09,12,11,5,68,1,0,68,29,3,10,NA,0,0,0,0,"2509 NORTH 24TH STREET,PHOENIX,AZ,85008",33.4753,-112.03,NA,2025-07-01
035016,HANDMAKER HOME FOR THE AGING,2221 NORTH ROSEMONT BOULEVARD,TUCSON,AZ,85712,5208812323,090,Pima,For profit - Corporation,94,80.2,NA,Medicare and Medicaid,N,HANDMAKER JEWISH SERVICES FOR THE AGING,1967-01-01,NA,NA,NA,NA,NA,NA,NA,Y,NA,N,N,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,5,NA,2,NA,NA,NA,2.40194,1.02787,0.528,1.55588,3.95782,3.63472,0.35523,0.06134,60.6,NA,57.1,NA,0,NA,1.41777,1.02627,2.36358,0.89096,0.69554,3.95008,3.49342,2.32763,0.99607,0.51167,3.83537,3.52227,2024-10-24,23,17,11,112,1,0,112,2023-09-28,10,5,5,48,1,0,48,96,3,10,NA,1,4194.45,0,1,"2221 NORTH ROSEMONT BOULEVARD,TUCSON,AZ,85712",32.2481,-110.88,NA,2025-07-01
035059,HAVEN OF SCOTTSDALE,3293 NORTH DRINKWATER BOULEVARD,SCOTTSDALE,AZ,85251,4809477443,060,Maricopa,For profit - Limited Liability company,56,51.5,NA,Medicare and Medicaid,N,HAVEN OF SCOTTSDALE LLC,1978-11-16,HAVEN HEALTH,249,20,2.8,2.3,2.2,4.8,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,5,NA,5,NA,5,NA,1,NA,NA,NA,1.7413,0.85464,0.68417,1.53881,3.28011,2.67677,0.41418,0.10219,70.5,NA,55.6,NA,0,NA,1.51953,1.09993,2.53322,0.95491,0.74546,4.2336,3.74416,1.57442,0.77274,0.6186,2.96576,2.42024,2024-10-10,9,7,3,60,1,0,60,2023-09-15,2,0,2,8,0,0,8,47,2,3,NA,0,0,0,0,"3293 NORTH DRINKWATER BOULEVARD,SCOTTSDALE,AZ,85251",33.4856,-111.92,NA,2025-07-01
035062,DESERT HAVEN CARE CENTER,2645 EAST THOMAS ROAD,PHOENIX,AZ,85016,6022436121,060,Maricopa,For profit - Limited Liability company,115,79.1,NA,Medicare and Medicaid,N,"SRCV HAVEN, LLC",1975-02-04,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,4,NA,NA,2,4,NA,NA,NA,2.70493,1.13693,0.34562,1.48254,4.18747,3.25657,0.29209,0,20.2,NA,0,NA,0,NA,1.16088,0.84032,1.93532,0.72953,0.56951,3.23437,2.86045,3.20129,1.34555,0.40904,4.95588,3.85415,2024-04-17,7,5,3,64,1,0,64,2022-12-01,9,9,1,36,1,0,36,57,1,3,NA,1,8017.75,0,1,"2645 EAST THOMAS ROAD,PHOENIX,AZ,85016",33.4804,-112.02,NA,2025-07-01
035064,FOOTHILLS REHABILITATION CENTER,2250 NORTH CRAYCROFT ROAD,TUCSON,AZ,85712,5207338700,090,Pima,For profit - Limited Liability company,149,118,NA,Medicare and Medicaid,N,FOOTHILLS REHABILITATION CENTER LLC,1976-08-18,ATIED ASSOCIATES,53,17,2.4,2.8,1.8,2.6,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,3,NA,5,NA,2,NA,4,NA,NA,NA,2.82441,0.91797,0.72338,1.64134,4.46576,4.16027,0.45232,0.03999,32,NA,23.8,NA,0,NA,1.63934,1.18666,2.73296,1.03021,0.80424,4.56741,4.03938,2.3671,0.76934,0.60625,3.74268,3.48666,2025-03-07,4,1,3,32,1,0,32,2023-02-16,6,4,3,64,1,0,64,40,5,4,0,2,25405,0,2,"2250 NORTH CRAYCROFT ROAD,TUCSON,AZ,85712",32.2488,-110.88,NA,2025-07-01
035068,PUEBLO SPRINGS REHABILITATION CENTER,5545 EAST LEE STREET,TUCSON,AZ,85712,5202962306,090,Pima,For profit - Limited Liability company,129,83.2,NA,Medicare and Medicaid,N,WILLOW CANYON HEALTHCARE LLC,1981-01-16,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,Y,N,Resident,Yes,2,NA,2,NA,4,NA,5,NA,3,NA,3,NA,NA,NA,1.76158,0.91784,0.5167,1.43454,3.19612,2.66459,0.39803,0.07383,50.7,NA,NA,27,0,NA,1.19591,0.86568,1.99371,0.75154,0.5867,3.33195,2.94675,2.02377,1.05445,0.59361,3.67182,3.06118,2023-04-25,3,3,0,20,1,0,20,2022-03-24,19,8,11,104,1,0,104,41,9,11,NA,0,0,0,0,"5545 EAST LEE STREET,TUCSON,AZ,85712",32.2416,-110.87,NA,2025-07-01
035070,CASAS ADOBES POST ACUTE REHAB CENTER,1919 WEST MEDICAL STREET,TUCSON,AZ,85704,5202978311,090,Pima,For profit - Limited Liability company,230,162.7,NA,Medicare and Medicaid,N,SENTINEL PEAK HEALTHCARE LLC,1979-04-17,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.431,1.191,0.38926,1.58026,4.01127,3.60198,0.25117,0.04579,57.5,NA,58.3,NA,0,NA,1.27817,0.92522,2.13084,0.80323,0.62705,3.56113,3.14943,2.6131,1.28021,0.41842,4.31173,3.87179,2024-03-28,4,4,1,20,1,0,20,2022-12-08,11,6,6,64,1,0,64,31,17,11,0,0,0,0,0,"1919 WEST MEDICAL STREET,TUCSON,AZ,85704",32.3221,-111,NA,2025-07-01
035071,MISSION PALMS POST ACUTE,6461 EAST BAYWOOD AVENUE,MESA,AZ,85206,4808325160,060,Maricopa,For profit - Corporation,160,153.8,NA,Medicare and Medicaid,N,ROYAL VIEW HEALTHCARE LLC,1979-07-05,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,1.71514,1.10916,0.52229,1.63145,3.34659,2.97453,0.29722,0.06554,38.5,NA,33.3,NA,0,NA,1.3956,1.01022,2.32662,0.87703,0.68466,3.88831,3.43879,1.68848,1.09192,0.51418,3.29457,2.92829,2023-11-17,6,6,6,24,1,0,24,2022-09-16,4,2,3,16,1,0,16,22,2,3,NA,0,0,0,0,"6461 EAST BAYWOOD AVENUE,MESA,AZ,85206",33.4103,-111.69,NA,2025-07-01
