STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,VE_FORMS,COUNTY,MONTH,MONTHNAME,DAY,DAYNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,SCH_BUS,SCH_BUSNAME,MOD_YEAR,MOD_YEARNAME,VPICMAKE,VPICMAKENAME,VPICMODEL,VPICMODELNAME,VPICBODYCLASS,VPICBODYCLASSNAME,MAKE,MAKENAME,BODY_TYP,BODY_TYPNAME,ICFINALBODY,ICFINALBODYNAME,GVWR_FROM,GVWR_FROMNAME,GVWR_TO,GVWR_TONAME,TOW_VEH,TOW_VEHNAME,AGE,AGENAME,SEX,SEXNAME,PER_TYP,PER_TYPNAME,INJ_SEV,INJ_SEVNAME,SEAT_POS,SEAT_POSNAME,REST_USE,REST_USENAME,REST_MIS,REST_MISNAME,HELM_USE,HELM_USENAME,HELM_MIS,HELM_MISNAME,AIR_BAG,AIR_BAGNAME,EJECTION,EJECTIONNAME,EJ_PATH,EJ_PATHNAME,EXTRICAT,EXTRICATNAME,DRINKING,DRINKINGNAME,ALC_STATUS,ALC_STATUSNAME,ATST_TYP,ATST_TYPNAME,ALC_RES,ALC_RESNAME,DRUGS,DRUGSNAME,DSTATUS,DSTATUSNAME,HOSPITAL,HOSPITALNAME,DOA,DOANAME,DEATH_DA,DEATH_DANAME,DEATH_MO,DEATH_MONAME,DEATH_YR,DEATH_YRNAME,DEATH_HR,DEATH_HRNAME,DEATH_MN,DEATH_MNNAME,DEATH_TM,DEATH_TMNAME,LAG_HRS,LAG_HRSNAME,LAG_MINS,LAG_MINSNAME,STR_VEH,LOCATION,LOCATIONNAME,WORK_INJ,WORK_INJNAME,HISPANIC,HISPANICNAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,SPEC_USE,SPEC_USENAME,EMER_USE,EMER_USENAME,ROLLOVER,ROLLOVERNAME,IMPACT1,IMPACT1NAME,FIRE_EXP,FIRE_EXPNAME,MAK_MOD,MAK_MODNAME,DEVTYPENAME,DEVMOTORNAME,DEVTYPE,DEVMOTOR
41,Oregon,410001,1,1,2,17,1,January,3,3,21,9:00pm-9:59pm,51,51,12,Motor Vehicle In-Transport,6,Angle,0,No,2005,2005,476,Dodge,3508,Durango,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),7,Dodge,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailers,39,39 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,9,Deployment- Unknown Location,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,8,Not Reported,2,Test Given,1,Blood,0,0.000 % BAC,8,Not Reported,2,Test Given,0,Not Transported for Treatment,7,Died at Scene,3,3,1,January,2022,2022,21,21:00-21:59,51,51,2151,2151,0,0,0,0,0,0,Occupant of a Motor Vehicle,0,No,7,Non-Hispanic,1,Rural,3,Principal Arterial - Other,0,No Special Use Noted,0,Not Applicable,0,No Rollover,3,3 Clock Point,1,Yes,7422,Dodge Durango (2004 on; see 402 for 1998-2003 models),NA,NA,NA,NA
41,Oregon,410001,1,2,2,17,1,January,3,3,21,9:00pm-9:59pm,51,51,12,Motor Vehicle In-Transport,6,Angle,0,No,2005,2005,476,Dodge,3508,Durango,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),7,Dodge,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailers,40,40 Years,2,Female,2,Passenger of a Motor Vehicle In-Transport,4,Fatal Injury (K),21,"Second Seat, Left Side",20,None Used/Not Applicable,7,None Used/Not Applicable,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,8,Not Reported,0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Test Not Given,0,Not Transported for Treatment,7,Died at Scene,3,3,1,January,2022,2022,21,21:00-21:59,51,51,2151,2151,0,0,0,0,0,0,Occupant of a Motor Vehicle,0,No,5,European Spanish,1,Rural,3,Principal Arterial - Other,0,No Special Use Noted,0,Not Applicable,0,No Rollover,3,3 Clock Point,1,Yes,7422,Dodge Durango (2004 on; see 402 for 1998-2003 models),NA,NA,NA,NA
41,Oregon,410001,1,3,2,17,1,January,3,3,21,9:00pm-9:59pm,51,51,12,Motor Vehicle In-Transport,6,Angle,0,No,2005,2005,476,Dodge,3508,Durango,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),7,Dodge,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailers,44,44 Years,1,Male,2,Passenger of a Motor Vehicle In-Transport,4,Fatal Injury (K),13,"Front Seat, Right Side",20,None Used/Not Applicable,7,None Used/Not Applicable,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,8,Not Reported,0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Test Not Given,0,Not Transported for Treatment,7,Died at Scene,3,3,1,January,2022,2022,21,21:00-21:59,51,51,2151,2151,0,0,0,0,0,0,Occupant of a Motor Vehicle,0,No,7,Non-Hispanic,1,Rural,3,Principal Arterial - Other,0,No Special Use Noted,0,Not Applicable,0,No Rollover,3,3 Clock Point,1,Yes,7422,Dodge Durango (2004 on; see 402 for 1998-2003 models),NA,NA,NA,NA
41,Oregon,410001,2,1,2,17,1,January,3,3,21,9:00pm-9:59pm,51,51,12,Motor Vehicle In-Transport,6,Angle,0,No,2016,2016,526,International,2686,SF625,11,Truck,84,International Harvester/Navistar,63,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",0,Not Applicable,18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",0,No Trailers,26,26 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,1,Possible Injury (C),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,8,Not Reported,2,Test Given,3,Urine,0,0.000 % BAC,8,Not Reported,2,Test Given,0,Not Transported for Treatment,0,Not Applicable,88,Not Applicable (Non-Fatal),88,Not Applicable (Non-Fatal),8888,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),8888,Not Applicable (Non-fatal),999,Unknown,99,Unknown,0,0,Occupant of a Motor Vehicle,8,Not Applicable (not a fatality),0,Not A Fatality (not Applicable),1,Rural,3,Principal Arterial - Other,0,No Special Use Noted,0,Not Applicable,0,No Rollover,12,12 Clock Point,1,Yes,84881,International Harvester/Navistar Medium/Heavy - CBE,NA,NA,NA,NA
41,Oregon,410002,1,1,2,13,1,January,3,3,5,5:00am-5:59am,59,59,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,2005,2005,467,Chevrolet,1850,Silverado,60,Pickup,20,Chevrolet,34,Light Pickup,0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailers,24,24 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,8,Not Reported,2,Test Given,1,Blood,0,0.000 % BAC,8,Not Reported,2,Test Given,0,Not Transported for Treatment,7,Died at Scene,3,3,1,January,2022,2022,6,6:00-6:59,3,3,603,603,0,0,4,4,0,0,Occupant of a Motor Vehicle,0,No,7,Non-Hispanic,1,Rural,3,Principal Arterial - Other,0,No Special Use Noted,0,Not Applicable,0,No Rollover,12,12 Clock Point,0,No or Not Reported,20481,"Chevrolet C, K, R, V-series pickup/Silverado",NA,NA,NA,NA
41,Oregon,410002,2,1,2,13,1,January,3,3,5,5:00am-5:59am,59,59,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,2020,2020,450,Freightliner,2501,Cascadia,66,Truck-Tractor,82,Freightliner,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",0,Not Applicable,18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",1,One Trailer,59,59 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,2,Suspected Minor Injury (B),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,8,Not Reported,0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Test Not Given,0,Not Transported for Treatment,0,Not Applicable,88,Not Applicable (Non-Fatal),88,Not Applicable (Non-Fatal),8888,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),8888,Not Applicable (Non-fatal),999,Unknown,99,Unknown,0,0,Occupant of a Motor Vehicle,8,Not Applicable (not a fatality),0,Not A Fatality (not Applicable),1,Rural,3,Principal Arterial - Other,0,No Special Use Noted,0,Not Applicable,0,No Rollover,12,12 Clock Point,0,No or Not Reported,82881,Freightliner Medium/Heavy - CBE,NA,NA,NA,NA
41,Oregon,410003,1,1,2,51,1,January,2,2,23,11:00pm-11:59pm,21,21,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,2016,2016,442,Jaguar,2242,XJ,13,Sedan/Saloon,39,Jaguar,4,"4-door sedan, hardtop",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailers,40,40 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,3,Suspected Serious Injury (A),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,9,Deployment- Unknown Location,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,1,Yes (Alcohol Involved),2,Test Given,1,Blood,220,0.220 % BAC,8,Not Reported,0,Test Not Given,5,EMS Ground,0,Not Applicable,88,Not Applicable (Non-Fatal),88,Not Applicable (Non-Fatal),8888,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),8888,Not Applicable (Non-fatal),999,Unknown,99,Unknown,0,0,Occupant of a Motor Vehicle,8,Not Applicable (not a fatality),0,Not A Fatality (not Applicable),2,Urban,1,Interstate,0,No Special Use Noted,0,Not Applicable,0,No Rollover,12,12 Clock Point,0,No or Not Reported,39032,Jaguar XJ/XJL/XJ6/12/XJR/XJ8/  XJ8L Sedan/Coupe,NA,NA,NA,NA
41,Oregon,410003,2,1,2,51,1,January,2,2,23,11:00pm-11:59pm,21,21,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,2012,2012,467,Chevrolet,1832,Cruze,13,Sedan/Saloon,20,Chevrolet,4,"4-door sedan, hardtop",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailers,34,34 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,9,Deployment- Unknown Location,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,8,Not Reported,2,Test Given,1,Blood,0,0.000 % BAC,8,Not Reported,2,Test Given,0,Not Transported for Treatment,7,Died at Scene,2,2,1,January,2022,2022,23,23:00-23:59,21,21,2321,2321,0,0,0,0,0,0,Occupant of a Motor Vehicle,0,No,1,Mexican,2,Urban,1,Interstate,0,No Special Use Noted,0,Not Applicable,0,No Rollover,12,12 Clock Point,0,No or Not Reported,20025,Chevrolet Cruze,NA,NA,NA,NA
41,Oregon,410004,0,1,1,51,1,January,3,3,5,5:00am-5:59am,32,32,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45 Years,2,Female,5,Pedestrian,4,Fatal Injury (K),0,Not a Motor Vehicle Occupant,96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant,96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant,97,Not a Motor Vehicle Occupant,8,Not Applicable,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,8,Not Reported,2,Test Given,1,Blood,0,0.000 % BAC,8,Not Reported,2,Test Given,0,Not Transported for Treatment,7,Died at Scene,3,3,1,January,2022,2022,5,5:00-5:59,32,32,532,532,0,0,0,0,1,11,"Not at Intersection - On Roadway, Not in Marked Crosswalk",0,No,7,Non-Hispanic,2,Urban,5,Major Collector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Applicable,Not Applicable,0,0
41,Oregon,410004,1,1,1,51,1,January,3,3,5,5:00am-5:59am,32,32,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,9999,Unknown,99999,Unknown,99999,Unknown,999,Unknown,99,Unknown Make,99,Unknown body type,0,Not Applicable,99,Reported as Unknown,99,Reported as Unknown,0,No Trailers,999,Reported as Unknown,9,Reported as Unknown,1,Driver of a Motor Vehicle In-Transport,9,Unknown/Not Reported,11,"Front Seat, Left Side",99,Reported as Unknown,7,None Used/Not Applicable,20,Not Applicable,7,None Used/Not Applicable,99,Reported as Deployment Unknown,0,Not Ejected,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,8,Not Reported,0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Test Not Given,0,Not Transported for Treatment,0,Not Applicable,88,Not Applicable (Non-Fatal),88,Not Applicable (Non-Fatal),8888,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),8888,Not Applicable (Non-fatal),999,Unknown,99,Unknown,0,0,Occupant of a Motor Vehicle,8,Not Applicable (not a fatality),0,Not A Fatality (not Applicable),2,Urban,5,Major Collector,0,No Special Use Noted,0,Not Applicable,0,No Rollover,98,Not Reported,0,No or Not Reported,99999,"Unknown Make Unknown (as to automobile, motored cycle, light truck or truck)",NA,NA,NA,NA
