NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
CEN26LA100,Accident,202341,2026-01-24,Sioux City,IA,USA,NA,N91MK,4636647,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,42.3675,-96.3778,PIPER AIRCRAFT INC,PA 46-350P,Airplane,KSUX,NA,False,1,NA,False,Personal,091,Substantial,Visual (VMC),MULAII LLC,Takeoff,Ongoing,False,Approved by Office Director,NA,NA,1/24/2026,24-1-2026
CEN26LA113,Accident,202425,2026-02-11,Des Moines,IA,USA,NA,N316VV,1111/US,False,Aviation,Aviation,Approved by Office Director,2026-04-16,NA,None,0,0,0,0,0,"The solo student pilot’s improper landing flare and subsequent improper recovery from a bounced landing, which resulted in a loss of directional control and a runway excursion.",Personnel issues - Task performance - Use of equip/info - Student/instructed pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Action/decision - Action - Student/instructed pilot; Personnel issues - Action/decision - Action - Student/instructed pilot,Accident,41.532443,-93.656731,COSTRUZIONI AERONAUTICHE TECNA,P-MENTOR,Airplane,DSM,DES MOINES INTL,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),Vertical Vision Flight Academy,Landing; Landing; Landing; Landing; Post-Impact,Completed,False,Approved by Office Director,NA,NA,2/11/2026,11-2-2026
CEN26LA154,Accident,202726,2026-03-29,Oelwein,IA,USA,NA,N942MA,754,False,Aviation,Aviation,Approved by Office Director,2026-07-15,NA,None,0,0,0,0,0,The pilot's failure to maintain directional control during the hover taxi with a quartering tailwind.,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Task performance - Use of equip/info - Pilot; Environmental issues - Conditions/weather/phenomena - Wind - Effect on equipment,Accident,42.684562,-91.975327,ENSTROM,F-28F,Helicopter,OLZ,Oelwein Municipal Airport,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Taxi; Taxi; Taxi,Completed,False,Approved by Office Director,NA,NA,3/29/2026,29-3-2026
CEN26LA256,Accident,203406,2026-07-16,Coralville,IA,USA,NA,N322TC,10661,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,41.630241,-91.651973,ROBINSON HELICOPTER COMPANY,R44 II,Helicopter,NA,NA,False,1,NA,False,Aerial application,137,Substantial,Visual (VMC),D&P LLC,Maneuvering; Maneuvering; Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,7/16/2026,16-7-2026
CEN26LA259,Accident,203426,2026-07-18,Adair,IA,USA,NA,N484AT,0100,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,41.46167,-94.646554,ROBINSON HELICOPTER,R44,Helicopter,NA,NA,False,1,NA,False,Aerial application,137,Substantial,Visual (VMC),HELICROP LLC,Maneuvering; Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,7/18/2026,18-7-2026
CEN26LA260,Accident,203428,2026-07-20,Red Oak,IA,USA,NA,N224RH,30080,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,40.949953,-95.347316,ROBINSON HELICOPTER,R44,Helicopter,NA,NA,False,1,NA,False,Aerial application,137,Substantial,Visual (VMC),Cedar Ridge Aviation,Takeoff,Ongoing,False,Approved by Office Director,NA,NA,7/20/2026,20-7-2026
CEN26FA267,Accident,203454,2026-07-24,Sioux City,IA,USA,NA,N27601,NA,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,1,0,0,1,0,NA,NA,Accident,NA,NA,ZENITH,Zodiak 601 HDS,NA,NA,NA,False,NA,NA,False,Personal,091,NA,Instrument (IMC),NA,Unknown,Ongoing,False,Approved by Office Director,NA,NA,7/24/2026,24-7-2026
CEN26LA271,Accident,203471,2026-07-24,Carroll,IA,USA,NA,N3707Q,D-8368,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,42.041508,-94.793902,BEECH,V35,Airplane,CIN,NA,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Approach,Ongoing,False,Approved by Office Director,NA,NA,7/24/2026,24-7-2026
CEN26LA274,Accident,203490,2026-07-29,Algona,IA,USA,NA,731CQ,18802794T,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,43.07028,-94.22972,CESSNA,A188B,Airplane,NA,NA,False,1,NA,False,Aerial application,137,Substantial,NA,D & K AVIATION INC,Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,7/29/2026,29-7-2026
CEN25LA277,Accident,200610,2025-07-22,Maynard,IA,USA,NA,N88911,0602,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,42.75996,-91.92748,ROBINSON HELICOPTER CO,R66,Helicopter,NA,NA,False,1,NA,False,Aerial application,137,Substantial,Visual (VMC),MIDWEST AVIATION LLC,Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,7/22/2025,22-7-2025
