NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
ERA26FA084,Accident,202239,2026-01-04,Provincetown,MA,USA,NA,N9360E,17272237,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,0,0,0,1,0,NA,NA,Accident,42.071093,-70.223901,CESSNA,172,Airplane,PVC,PROVINCETOWN MUNI,False,1,NA,False,Personal,091,Substantial,Visual (VMC),BROCKTON FLYING CLUB INC,Landing,Ongoing,False,Approved by Office Director,NA,NA,1/4/2026,4-1-2026
ERA26LA198,Accident,202928,2026-05-01,New Salem,MA,USA,NA,N8618H,NAV-4-583,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,1,1,0,NA,NA,Accident,42.51775,-72.295409,NORTH AMERICAN,NAVION,Airplane,ORE,ORANGE MUNICIPAL,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Enroute; Enroute; Enroute,Ongoing,False,Approved by Office Director,NA,NA,5/1/2026,1-5-2026
ERA26LA202,Accident,202960,2026-05-07,Hyannis,MA,USA,NA,N912Z,8021,False,Aviation,Aviation,Approved by Office Director,2026-07-15,NA,None,0,0,0,0,0,"The pilot’s failure to maintain control of the airplane while landing, which resulted in a ground loop and subsequent nose over.",Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Task performance - Use of equip/info - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,41.666652,-70.282041,SHERRY GROBSTEIN,LSA-8X,Airplane,HYA,CAPE COD GATEWAY,True,1,Reciprocating,False,Flight test,091,Substantial,Visual (VMC),On File,Landing; Landing,Completed,False,Approved by Office Director,NA,NA,5/7/2026,7-5-2026
ERA26LA228,Accident,203124,2026-05-26,Fitchburg,MA,USA,NA,N6287T,R18201960,False,Aviation,Aviation,Approved by Office Director,2026-08-11,NA,None,0,0,0,0,0,"The pilot’s improper landing flare, which resulted in a hard landing.",Personnel issues - Task performance - Use of equip/info - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,42.554873,-71.760482,CESSNA,R182,Airplane,FIT,FITCHBURG MUNI,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing,Completed,False,Approved by Office Director,NA,NA,5/26/2026,26-5-2026
DCA26LA242,Incident,203203,2026-06-20,Boston,MA,USA,NA,N328NB; N328NB; N316PF; N316PF,1520; 1520; 31262; 31262,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Incident,42.367919,-71.009483,AIRBUS INDUSTRIE; AIRBUS INDUSTRIE; BOEING; BOEING,A319-114; A319-114; 737-800; 737-800,Airplane; Airplane; Airplane; Airplane,BOS,GENERAL EDWARD LAWRENCE LOGAN INTL,False,2,NA,True,NA,121; 121; 121; 121,None; None; None; None,Visual (VMC),DELTA AIR LINES INC; DELTA AIR LINES INC; AMERICAN AIRLINES INC; AMERICAN AIRLINES INC,Approach; Takeoff,Ongoing,False,Approved by Office Director,NA,NA,6/20/2026,20-6-2026
ERA26LA246,Accident,203236,2026-06-15,Provincetown,MA,USA,NA,N499CA,402C1006,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,0,0,1,0,NA,NA,Accident,42.074943,-70.215118,CESSNA,402,Airplane,PVC,Provincetown Municipal Airport,False,2,NA,True,NA,135,Substantial,Visual (VMC),HYANNIS AIR SERVICE INC,Landing; Landing; Landing,Ongoing,False,Approved by Office Director,NA,NA,6/15/2026,15-6-2026
CEN26FA257,Accident,203409,2026-07-16,Plymouth,MA,USA,NA,N84AJ,AC-18-001,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,1,0,0,1,0,NA,NA,Accident,41.889742,-70.697902,DAKOTA CUB,SUPER 18,Airplane,PYM,Plymouth Municipal Airport,True,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,EmergencyDescent; Approach; Approach; Landing,Ongoing,False,Approved by Office Director,NA,NA,7/16/2026,16-7-2026
ERA25FA230,Accident,200355,2025-06-19,Beverly,MA,USA,NA,N9573M,670150,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,0,0,0,2,0,NA,NA,Accident,42,-70,MOONEY,M20F,Airplane,BVY,BEVERLY RGNL,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,InitialClimb; Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,6/19/2025,19-6-2025
DCA25LA286,Accident,200742,2025-07-14,Boston,MA,USA,NA,N224JQ; N224JQ,17000209; 17000209,False,Aviation,Aviation,Approved by Office Director,2026-06-04,NA,None,0,0,0,0,0,The captain’s decision to continue the landing after the bounce and the subsequent misapplication of pitch controls. Contributing to the accident was the ongoing “land and hold short” operations that may have created an urgency to land.,Personnel issues - Action/decision - Action - Pilot; Personnel issues - Action/decision - Info processing/decision - Flight crew,Accident,42.362944,-71.006389,EMBRAER-EMPRESA BRASILEIRA DE; EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR; ERJ 170-200 LR,Airplane; Airplane,BOS,GENERAL EDWARD LAWRENCE LOGAN INTL,False,2,Turbo fan; Turbo fan,True,NA,121; 121,Substantial; Substantial,Visual (VMC); Visual (VMC),Republic Airways; Republic Airways,Landing,Completed,False,Approved by Office Director,NA,NA,7/14/2025,14-7-2025
ERA25LA296,Accident,200768,2025-08-10,Muskeget Island,MA,USA,NA,N1052T,20054C,False,Aviation,Aviation,Approved by Office Director,2025-11-20,NA,None,0,0,0,0,0,"The pilot’s failure to obtain a proper touchdown point while attempting to land on a very short and rough turf runway, which resulted in a runway overrun and collision with vegetation and terrain.",Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Task performance - Use of equip/info - Pilot,Accident,41.334937,-70.301738,MAULE,MX-7-180A,Airplane,MA55,Muskeget Island Airport,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,8/10/2025,10-8-2025
ERA25LA312,Accident,200854,2025-08-23,Fitchburg,MA,USA,NA,N2589V,18094,False,Aviation,Aviation,Approved by Office Director,2025-12-18,NA,None,0,0,0,0,0,The pilot’s failure to maintain directional control during the landing roll with a quartering tailwind.,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Environmental issues - Conditions/weather/phenomena - Wind - Effect on operation; Personnel issues - Task performance - Use of equip/info - Pilot,Accident,42.552158,-71.757007,CESSNA,170,Airplane,FIT,FITCHBURG MUNI,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing; Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,8/23/2025,23-8-2025
