NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
WPR26LA055,Accident,202143,2025-12-09,Eureka,MT,USA,NA,N339X,6151,False,Aviation,Aviation,Approved by Office Director,2026-03-13,NA,None,0,0,0,0,0,The pilot’s failure to maintain directional control during landing in crosswind conditions.  Contributing to the accident was the pilot's lack of recent flight experience.,Personnel issues - Task performance - Use of equip/info - Pilot; Personnel issues - Experience/knowledge - Experience/qualifications - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,48.968479,-115.07934,MAULE,M-5-210C,Airplane,88M,EUREKA,False,1,Reciprocating,False,Ferry,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),On File,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,12/9/2025,9-12-2025
WPR26LA093,Accident,202376,2026-01-19,Great Falls,MT,USA,NA,C-GJVK,500-103,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,47.479743,-111.36818,CESSNA,500,Airplane,GTF,GREAT FALLS INTL,False,2,NA,False,Personal,091,Substantial,Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,1/19/2026,19-1-2026
WPR26LA099,Accident,202398,2026-02-05,Libby,MT,USA,NA,N407VS,54667,False,Aviation,Aviation,Approved by Office Director,2026-04-30,NA,None,0,0,0,0,0,The pilot's failure to maintain clearance from a light post during landing.,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Action/decision - Action - Pilot; Environmental issues - Physical environment - Object/animal/substance - Contributed to outcome; Environmental issues - Physical environment - Object/animal/substance - Response/compensation,Accident,48.392012,-115.54532,BELL HELICOPTER TEXTRON CANADA,BHT407,Helicopter,None,Cabinet Peaks Medical Center,False,1,Turbo shaft,False,Positioning,135,Substantial,Visual (VMC),A L E R T Kalispell Regional Medical Center Inc,Landing,Completed,False,Approved by Office Director,NA,NA,2/5/2026,5-2-2026
WPR26LA105,Accident,202448,2026-02-13,Three Forks,MT,USA,NA,N1491A,20-840,False,Aviation,Aviation,Approved by Office Director,2026-04-30,NA,None,0,0,0,0,0,The pilot’s failure to maintain directional during the landing roll with a variable wind.,Personnel issues - Task performance - Use of equip/info - Pilot; Environmental issues - Conditions/weather/phenomena - Wind - Effect on operation; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,45.878111,-111.56944,PIPER,PA-20,Airplane,9S5,THREE FORKS,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Landing; Landing,Completed,False,Approved by Office Director,NA,NA,2/13/2026,13-2-2026
WPR26LA146,Accident,202757,2026-04-04,Chimney Rock,MT,USA,NA,N5017G,45228,False,Aviation,Aviation,Approved by Office Director,2026-06-22,NA,None,0,0,0,0,0,"The pilot’s failure to maintain adequate clearance from the terrain while performing a lowaltitude circling takeoff maneuver, which resulted in a dynamic rollover.",Environmental issues - Physical environment - Terrain - Contributed to outcome; Personnel issues - Task performance - Use of equip/info - Pilot; Personnel issues - Psychological - Attention/monitoring - Pilot,Accident,45.543896,-110.74795,BELL HELICOPTER TEXTRON,206L-1,Helicopter,NA,Mountain grassy meadow,False,1,Turbo shaft,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Takeoff; Maneuvering,Completed,False,Approved by Office Director,NA,NA,4/4/2026,4-4-2026
WPR26LA152,Accident,202787,2026-04-08,Great Falls,MT,USA,NA,N563JA,JA563-8-19,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,47.390038,-111.34191,Just Aircraft,Highlander,Airplane,None,PVT,True,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Approach; Landing,Ongoing,False,Approved by Office Director,NA,NA,4/8/2026,8-4-2026
WPR26LA155,Accident,202806,2026-04-10,Ennis,MT,USA,NA,N136EM,432925,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,0,1,0,NA,NA,Accident,45.309167,-111.63683,AERO VODOCHODY,L-39,Airplane,EKS,ENNIS BIG SKY,False,1,NA,False,Instructional,091,Substantial,Visual (VMC),JDI HOLDINGS LLC,Approach,Ongoing,False,Approved by Office Director,NA,NA,4/10/2026,10-4-2026
WPR26LA157,Accident,202809,2026-04-08,Marion,MT,USA,NA,N5475N,18267745,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,48.096369,-114.85286,CESSNA,T182,Airplane,MT53,CARSON FLD,False,1,NA,False,Personal,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,4/8/2026,8-4-2026
WPR26LA280,Accident,203478,2026-07-24,Glasgow,MT,USA,NA,C-FCPG,NA,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,0,1,0,NA,NA,Accident,48.212,-106.585,HARMON,ROCKET II,Airplane,GGW,NA,False,NA,NA,False,Personal,091,Unknown,Visual (VMC),On File,Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,7/24/2026,24-7-2026
WPR25LA176,Accident,200332,2025-06-15,Willow Creek,MT,USA,NA,N71450,18259627,False,Aviation,Aviation,Approved by Office Director,2025-08-11,NA,None,0,0,0,0,0,"The pilot’s inadequate preflight inspection and fuel planning, which resulted in a total loss of engine power due to fuel exhaustion.",Aircraft - Fluids/misc hardware - Fluids - Fluid level; Personnel issues - Task performance - Inspection - Pilot; Personnel issues - Action/decision - Info processing/decision - Pilot; Personnel issues - Task performance - Planning/preparation - Pilot,Accident,45.82287,-111.69888,CESSNA,182M,Airplane,NA,NA,False,1,Reciprocating,False,Skydiving,091,Substantial,Visual (VMC); Visual (VMC),On File,Landing; Enroute; Standing,Completed,False,Approved by Office Director,NA,NA,6/15/2025,15-6-2025
WPR25FA182,Accident,200353,2025-06-19,Billings,MT,USA,NA,N79306,17258032,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,0,0,0,1,0,NA,NA,Accident,45.635317,-108.52738,CESSNA,172,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,Visual (VMC),LA PARTNERSHIP,Maneuvering; Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,6/19/2025,19-6-2025
