NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
ERA26LA070,Accident,202185,2025-12-17,Nashua,NH,USA,NA,N22EU,VT005,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,0,1,0,NA,NA,Accident,42.783934,-71.500112,HOLTAWAY ROBERT F,VELOCITY V-TWIN,Airplane,ASH,BOIRE FLD,True,2,NA,False,Personal,091,Substantial,Visual (VMC),TEAM FLYER LLC,Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,12/17/2025,17-12-2025
ERA26LA212,Accident,203037,2026-05-21,Jaffrey,NH,USA,NA,N732JG,74732,False,Aviation,Aviation,Approved by Office Director,2026-08-11,NA,Minor,0,0,2,2,0,"The pilot’s failure to maintain directional control of the airplane during landing, which resulted in a touchdown off the paved runway surface and a collision with terrain during the subsequent aborted landing.",Personnel issues - Task performance - Use of equip/info - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,42.805563,-72.003377,GRANITO JOSEPH R,RV-7A,Airplane,AFN,JAFFREY AIRFIELD SILVER RANCH,True,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,5/21/2026,21-5-2026
ERA26LA231,Accident,203133,2026-06-05,Jaffrey,NH,USA,NA,N28YD,533,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,1,0,1,0,NA,NA,Accident,42.819564,-72.05766,OLSON/WILLIAMS,SONEX,Airplane,AFN,JAFFREY AIRFIELD SILVER RANCH,False,1,NA,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Takeoff,Ongoing,False,Approved by Office Director,NA,NA,6/5/2026,5-6-2026
ERA26LA233,Accident,203146,2026-06-09,Gilford,NH,USA,NA,N316HY,17702651,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,43.575794,-71.408865,CESSNA,177,Airplane,LCI,LACONIA MUNI,False,1,NA,False,Personal,091,Substantial,Visual (VMC),LAKEVIEW AVIATION INC,Landing,Ongoing,False,Approved by Office Director,NA,NA,6/9/2026,9-6-2026
ERA26LA236,Accident,203156,2026-06-09,Plymouth,NH,USA,NA,N69NX,CC19-0069,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,2,2,0,NA,NA,Accident,43.778254,-71.75385,CUB CRAFTERS INC,CC19-215,Airplane,1P1,PLYMOUTH MUNI,False,1,NA,False,Personal,091,Substantial,Visual (VMC),SONOMA VALLEY LLC,Landing,Ongoing,False,Approved by Office Director,NA,NA,6/9/2026,9-6-2026
ERA26LA263,Accident,203331,2026-07-05,Newport,NH,USA,NA,N5205K,NAV-4-2105,False,Aviation,Aviation,Approved by Office Director,2026-08-11,NA,Serious,0,1,0,1,0,"The pilot’s failure to attain an appropriate touchdown point, which resulted in a runway overrun.",Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Action/decision - Info processing/decision - Pilot,Accident,43.390336,-72.194851,RYAN,NAVION A,Airplane,2B3,PARLIN FLD,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Landing,Completed,False,Approved by Office Director,NA,NA,7/5/2026,5-7-2026
ERA25LA237,Accident,200382,2025-06-23,Swanzey,NH,USA,NA,N62XF,VX2-008,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,0,1,0,NA,NA,Accident,42.9065,-72.2726,MARK C TIMNEY,GT-VX2,Helicopter,EEN,NA,False,1,NA,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,EmergencyDescent; Landing; Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,6/23/2025,23-6-2025
ERA25LA265,Accident,200524,2025-07-13,Charlestown,NH,USA,NA,N4010E,C-85,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,1,0,1,0,NA,NA,Accident,43.327417,-72.37453,MOYES LITEFLITE PTY LTD,C DRAGONFLY,Airplane,PVT,Morningside Flight Park,False,1,NA,False,Glider tow,091,Substantial,Visual (VMC),Kitty Hawk Flight School LLC,Approach; Enroute; Approach,Ongoing,False,Approved by Office Director,NA,NA,7/13/2025,13-7-2025
ERA25LA287,Accident,200709,2025-07-24,Franconia,NH,USA,NA,N103GV,3069,False,Aviation,Aviation,Approved by Office Director,2025-11-20,NA,None,0,0,0,0,0,"The pilot’s failure to detect the inadvertent deployment of the spoilers, which resulted in a prolonged, excessive descent rate. Contributing to the accident was the pilot’s decision to conduct a downwind approach versus a straight in approach to the diversionary airport, which resulted in an off-airport landing.",Personnel issues - Action/decision - Info processing/decision - Pilot; Aircraft - Aircraft systems - Flight control system - Incorrect use/operation; Personnel issues - Action/decision - Info processing/decision - Pilot,Accident,44.17493,-71.764361,GROB-WERKE,TWIN ASTIR,Glider,NA,NA,False,0,None,False,Personal,091,Substantial,Visual (VMC),On File,Maneuvering; EmergencyDescent,Completed,False,Approved by Office Director,NA,NA,7/24/2025,24-7-2025
ERA25LA318,Accident,200866,2025-08-18,Portsmouth,NH,USA,NA,N999XX,S0370,False,Aviation,Aviation,Approved by Office Director,2025-11-20,NA,None,0,0,0,0,0,The pilot’s failure to extend the airplane’s landing gear before landing.,Aircraft - Aircraft systems - Landing gear system - Not used/operated; Personnel issues - Action/decision - Action - Pilot,Accident,43.068081,-70.815254,SCODA AERONAUTICA LTDA,SUPER PETREL LS,Airplane,PSM,PORTSMOUTH INTL AT PEASE,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Landing,Completed,False,Approved by Office Director,NA,NA,8/18/2025,18-8-2025
