NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
ERA26FA077,Accident,202213,2025-12-28,Hammonton,NJ,USA,NA,N280MG; N520H,1135; 325,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,2,0,0,2,0,NA,NA,Accident,39.66095,-74.769759,ENSTROM; ENSTROM,280; F28,Helicopter; Helicopter,N81,HAMMONTON MUNI,False,1,NA,False,Personal; Personal,091; 091,Destroyed; Substantial,Visual (VMC),M&M CHARTER LLC; On File,Maneuvering; Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,12/28/2025,28-12-2025
ERA26LA096,Accident,202323,2026-01-15,Fairfield,NJ,USA,NA,N59WM,10037,False,Aviation,Aviation,Approved by Office Director,2026-05-07,NA,None,0,0,0,0,0,"The pilot’s failure to maintain an appropriate glide path during the landing approach in gusting wind conditions, resulting in an impact with trees prior to the runway.",Environmental issues - Conditions/weather/phenomena - Wind - Response/compensation; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,40.8752,-74.2814,AMERICAN GENERAL ACFT CORP,AG5B,Airplane,CDW,ESSEX COUNTY,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),HUDSON RIVER WINGS LLC,Approach,Completed,False,Approved by Office Director,NA,NA,1/15/2026,15-1-2026
OPS26LA019,Occurrence,202458,2026-02-13,West Milford,NJ,USA,NA,N91SU; N657MW,NA,False,Aviation,Aviation,None,NA,NA,NA,0,0,0,0,0,NA,NA,Occurrence,NA,NA,LEARJET INC; CIRRUS DESIGN CORP,45; SR22,NA,NA,NA,False,NA,NA,False,NA,NA,NA,NA,"STOCKMEIER URETHANES USA, INC.",Enroute; Enroute,Ongoing,False,None,NA,NA,2/13/2026,13-2-2026
OPS26LA027,Incident,202668,2026-03-18,Newark,NJ,USA,NA,N738AL; N738AL; N853FD; N853FD,NA,False,Aviation,Aviation,None,NA,NA,None,0,0,0,0,0,NA,NA,Incident,NA,NA,BOEING; BOEING; BOEING CO; BOEING CO,737-9; 737-9; 777-FS2; 777-FS2,NA,NA,NA,False,NA,NA,True,Unknown; Unknown,121; 121; 121; 121,NA,Visual (VMC),ALASKA AIRLINES INC; ALASKA AIRLINES INC; FEDERAL EXPRESS CORP; FEDERAL EXPRESS CORP,Landing; Approach,Ongoing,False,None,NA,NA,3/18/2026,18-3-2026
ERA26LA163,Accident,202770,2026-04-01,Ocean City,NJ,USA,NA,N96MA,31T-7804005,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,39.263479,-74.607476,PIPER,PA31T,Airplane,26N,Ocean City Municipal,False,2,NA,False,Positioning,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),Avione,Landing; Landing; Landing,Ongoing,False,Approved by Office Director,NA,NA,4/1/2026,1-4-2026
DCA26FA194,Accident,202921,2026-05-03,Newark,NJ,USA,NA,N77066,29461,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,1,0,1,NA,NA,Accident,40.701083,-74.155361,BOEING,767-424ER,Airplane,NA,NA,False,2,NA,True,NA,121,Substantial,NA,UNITED AIRLINES INC,Approach,Ongoing,False,Approved by Office Director,NA,NA,5/3/2026,3-5-2026
ENG26LA023,Incident,203060,2026-05-24,Atlantic City,NJ,USA,NA,N168QS,NA,False,Aviation,Aviation,Approved by Office Director,NA,NA,NA,0,0,0,0,0,NA,NA,Incident,NA,NA,BOMBARDIER INC,BD-700-1A10,NA,NA,NA,False,NA,NA,False,NA,NA,NA,NA,NA,Enroute,Ongoing,False,Approved by Office Director,NA,NA,5/24/2026,24-5-2026
ERA25LA254,Accident,200453,2025-07-02,Monroe,NJ,USA,NA,N716MM,208B0746,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,0,0,15,0,NA,NA,Accident,39.7,-75.04,CESSNA,208,Airplane,17N,Cross Keys Airport,False,1,NA,False,Skydiving,091,Substantial,Visual (VMC),ARNE AVIATION LLC,Landing; Landing; Enroute; EmergencyDescent,Ongoing,False,Approved by Office Director,NA,NA,7/2/2025,2-7-2025
ERA25LA349,Accident,201023,2025-09-16,Lincoln Park,NJ,USA,NA,N272BH,992 VN 912 LSA,False,Aviation,Aviation,Approved by Office Director,2026-04-30,NA,None,0,0,0,0,0,"The pilot’s inadequate compensation for variable wind conditions, which resulted in a hard landing and loss of directional control.",Personnel issues - Task performance - Use of equip/info - Pilot; Environmental issues - Conditions/weather/phenomena - Wind - Response/compensation; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,40.947238,-74.31447,PIPISTREL LSA S R L,VIRUS 912 LSA,Airplane,N07,Lincoln Park Airport,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Approach; Landing; Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,9/16/2025,16-9-2025
ERA25LA360,Accident,201061,2025-09-20,Linden,NJ,USA,NA,N5914V,28-7716214,False,Aviation,Aviation,Approved by Office Director,2025-12-04,NA,None,0,0,0,0,0,An in-flight collision with a bird while on approach.,Environmental issues - Physical environment - Object/animal/substance - Ability to respond/compensate,Accident,40.617487,-74.244371,PIPER,PA-28-161,Airplane,LDJ,LINDEN,False,1,Reciprocating,False,Instructional,091,Substantial,Visual (VMC),LUVSFLYING FLIGHT TRAINING LLC,Landing,Completed,False,Approved by Office Director,NA,NA,9/20/2025,20-9-2025
ERA25LA376,Accident,201775,2025-09-28,West Milford,NJ,USA,NA,N283WT,3938,False,Aviation,Aviation,Approved by Office Director,2025-12-18,NA,None,0,0,0,0,0,"The pilot’s improper landing flare and subsequent failure to recover from a hard bounced landing, which resulted in a loss of directional control and runway excursion.",Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Action/decision - Action - Pilot; Personnel issues - Task performance - Use of equip/info - Pilot,Accident,41.128389,-74.346528,CIRRUS DESIGN CORP,SR22,Airplane,4N1,GREENWOOD LAKE,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,9/28/2025,28-9-2025
