NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
ERA26LA076,Accident,202202,2025-12-22,East Farmingdale,NY,USA,NA,N1517E; N65199,17271031; 15284323,False,Aviation,Aviation,Approved by Office Director,2026-05-21,NA,None,0,0,0,0,0,"A loss of brake effectiveness during taxi, which resulted in a collision with another airplane.",Aircraft - Aircraft systems - Landing gear system - Malfunction; Aircraft - Aircraft systems - Landing gear system - Malfunction,Accident,40.729274,-73.413421,CESSNA; CESSNA,172N; 152,Airplane; Airplane,FRG,REPUBLIC,False,1,Reciprocating; Reciprocating,False,Instructional; Instructional,091; 091,Minor; Substantial,Visual (VMC),ACADEMY OF AVIATION; LONG ISLAND AVIATORS LLC,Taxi; Taxi; Taxi,Completed,False,Approved by Office Director,NA,NA,12/22/2025,22-12-2025
ERA26LA134,Accident,202585,2026-03-03,Newburgh,NY,USA,NA,N1560E,17271047,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,0,2,0,NA,NA,Accident,41.503906,-74.003744,CESSNA,172N,Airplane,SWF,NA,False,1,NA,False,Instructional,091,Substantial,Visual (VMC),AMERICAN AIRMAN INC,Enroute; Landing,Ongoing,False,Approved by Office Director,NA,NA,3/3/2026,3-3-2026
DCA26MA161,Accident,202674,2026-03-23,New York,NY,USA,NA,C-GNJZ,15052,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,2,6,33,39,2,NA,NA,Accident,40.775521,-73.878882,MITSUBISHI,CL-600,Airplane,LGA,LAGUARDIA,False,2,NA,True,NA,129,Substantial,Visual (VMC); Visual (VMC),Jazz Aviation LP,Landing,Ongoing,False,Approved by Office Director,NA,NA,3/23/2026,23-3-2026
ERA26LA209,Accident,203015,2026-05-18,Harrison,NY,USA,NA,N5114Z,172S10927,False,Aviation,Aviation,Approved by Office Director,2026-06-22,NA,Minor,0,0,0,2,0,"The student pilot’s excessive pitch up attitude during takeoff, which resulted in an aerodynamic stall and loss of control.",Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Task performance - Use of equip/info - Student/instructed pilot,Accident,41.066953,-73.707566,CESSNA,172S,Airplane,HPN,WESTCHESTER COUNTY,False,1,Reciprocating,False,Instructional,091,Substantial,Visual (VMC),On File,Takeoff,Completed,False,Approved by Office Director,NA,NA,5/18/2026,18-5-2026
ERA26FA214,Accident,203054,2026-05-26,Saratoga Springs,NY,USA,NA,N8656L; N8656L; N321ER; N321ER,25-5101; 25-5101; 27091; 27091,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,1,0,0,1,0,NA,NA,Accident,43.053629,-73.865586,PIPER; PIPER; SCHLEICHER; SCHLEICHER,PA-25-235; PA-25-235; ASW-27; ASW-27,Airplane; Airplane; Glider; Glider,5B2,SARATOGA COUNTY,False,1,NA,False,Glider tow; Personal,091; 091; 091; 091,Substantial; Substantial; None; None,Visual (VMC),ADIRONDACK SOARING ASSOCIATION INC; ADIRONDACK SOARING ASSOCIATION INC; On File; On File,InitialClimb; InitialClimb; Takeoff; InitialClimb; InitialClimb,Ongoing,False,Approved by Office Director,NA,NA,5/26/2026,26-5-2026
ERA26LA242,Accident,203197,2026-06-13,New York,NY,USA,NA,N817PP,S0422,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,40.800439,-73.801685,SCODA AERONAUTICA LTDA,SUPER PETREL XP,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,NA,REGISTRATION PENDING,Takeoff,Ongoing,False,Approved by Office Director,NA,NA,6/13/2026,13-6-2026
ERA26LA261,Accident,203320,2026-07-05,New York,NY,USA,NA,N726SH,100-0363,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,40.845934,-73.816245,KODIAK AIRCRAFT CO INC,KODIAK 100,Airplane,6N7,Evers Seaplane Base,False,1,NA,False,NA,135,Substantial,Visual (VMC); Visual (VMC),Acadian Seaplanes LLC,Landing,Ongoing,False,Approved by Office Director,NA,NA,7/5/2026,5-7-2026
ERA26FA269,Accident,203373,2026-07-12,Piseco,NY,USA,NA,N43TB,18257442,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,1,0,0,1,0,NA,NA,Accident,43.452491,-74.513109,CESSNA,182,Airplane,K09,PISECO,False,1,NA,False,Personal,091,Destroyed,Visual (VMC),On File,Landing; InitialClimb; InitialClimb; UncontrolledDescent,Ongoing,False,Approved by Office Director,NA,NA,7/12/2026,12-7-2026
ERA26FA271,Accident,203380,2026-07-14,Lake Clear,NY,USA,NA,N800AA,61P-0336-098,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,0,0,0,3,0,NA,NA,Accident,44.3629,-74.227863,SMITH,AEROSTAR 601,Airplane,SLK,Adirondack Regional Airport,False,2,NA,False,Personal,091,Destroyed,Visual (VMC),On File,InitialClimb,Ongoing,False,Approved by Office Director,NA,NA,7/14/2026,14-7-2026
DCA26LA282,Accident,203395,2026-07-14,New York,NY,USA,NA,N382DN,8854,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,40.781109,-73.874162,AIRBUS,A321-211,Airplane,LGA,LAGUARDIA,False,2,NA,True,NA,121,Substantial,NA,DELTA AIR LINES INC,Landing,Ongoing,False,Approved by Office Director,NA,NA,7/14/2026,14-7-2026
