NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
CEN26LA214,Accident,203098,2026-05-28,Dickinson,ND,USA,NA,N2056X,18256156,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,46.800474,-102.80443,CESSNA,182,Airplane,DIK,DICKINSON/THEODORE ROOSEVELT RGNL,False,1,NA,False,Personal,091,Substantial,NA,On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,5/28/2026,28-5-2026
ERA26FA252,Accident,203269,2026-06-28,Hazen,ND,USA,NA,N6852P,24-1986,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,1,0,0,1,0,NA,NA,Accident,47.289935,-101.58097,PIPER,PA24,Airplane,HZE,Mercer County Regional Airport,False,1,NA,False,Personal,091,Destroyed,Visual (VMC),On File,UncontrolledDescent; InitialClimb; Standing; InitialClimb; InitialClimb,Ongoing,False,Approved by Office Director,NA,NA,6/28/2026,28-6-2026
OPS25LA052,Incident,200594,2025-07-19,Minot,ND,USA,NA,N604CZ; UNK; N41349,17000181; 28-7415179,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Incident,48.225091,-101.2442,EMBRAER-EMPRESA BRASILEIRA DE; BOEING; PIPER,ERJ 170-200 LR; B-52; PA-28-151,Airplane; Unknown; Airplane,MOT,MINOT INTL,False,2,NA,True,Personal; Unknown,121; ARMF; 091,None; None; None,Visual (VMC),DELTA AIR LINES INC; Military; MINOT AERO CENTER,Unknown; Approach; Enroute; Approach,Ongoing,False,Approved by Office Director,NA,NA,7/19/2025,19-7-2025
CEN25LA306,Accident,200731,2025-08-07,Davenport,ND,USA,NA,N23069,301-0350,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,0,0,1,0,NA,NA,Accident,46.743222,-96.990194,AIR TRACTOR INC,AT-301,Airplane,NA,NA,False,1,NA,False,Aerial application,137,Substantial,Visual (VMC),AG SPRAY INC,Enroute,Ongoing,False,Approved by Office Director,NA,NA,8/7/2025,7-8-2025
CEN25LA336,Accident,200843,2025-08-23,Argusville,ND,USA,NA,N7239Z,25-3163,False,Aviation,Aviation,Approved by Office Director,2026-01-15,NA,None,0,0,0,0,0,The pilot’s failure to maintain clearance from terrain while maneuvering at low altitude.,Environmental issues - Physical environment - Object/animal/substance - Awareness of condition; Personnel issues - Psychological - Attention/monitoring - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,47.0522,-96.9345,PIPER,PA-25-235,Airplane,NA60,Dakota Airport,False,1,Reciprocating,False,Aerial application,137,Substantial,Visual (VMC),Zachary Wolf,Maneuvering; Maneuvering,Completed,False,Approved by Office Director,NA,NA,8/23/2025,23-8-2025
CEN25LA338,Accident,200845,2025-08-22,Fargo,ND,USA,NA,N561RT,2355,False,Aviation,Aviation,Approved by Office Director,2026-01-09,NA,None,0,0,0,0,0,The pilot’s failure to maintain directional control during landing with a gusting crosswind. Contributing to the accident was the closure of the wind aligned runway 27.,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Environmental issues - Conditions/weather/phenomena - Wind - Effect on operation; Personnel issues - Task performance - Use of equip/info - Pilot; Environmental issues - Conditions/weather/phenomena - Wind - Effect on operation,Accident,46.926966,-96.815949,CIRRUS DESIGN CORP,SR22T,Airplane,FAR,Hector International,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC); Visual (VMC),On File,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,8/22/2025,22-8-2025
CEN26LA013,Accident,201824,2025-10-02,Chaseley,ND,USA,NA,N91042,18-8109067,False,Aviation,Aviation,Approved by Office Director,2026-02-13,NA,None,0,0,0,0,0,"The pilot’s excessive braking during the landing roll, which resulted in a nose over.",Personnel issues - Task performance - Use of equip/info - Pilot,Accident,47.489737,-99.815237,PIPER,PA-18-150,Airplane,N/A,NA,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing,Completed,False,Approved by Office Director,NA,NA,10/2/2025,2-10-2025
CEN24LA184,Accident,194253,2024-05-13,Enderlin,ND,USA,NA,N669A,22-71,False,Aviation,Aviation,Approved by Office Director,2025-05-14,NA,Minor,0,0,3,3,0,The pilot’s failure to properly inspect and sump the fuel system before the flight and the maintenance personnel’s inadequate maintenance of the fuel system which resulted in fuel starvation and the subsequent loss of engine power due to the contamination of the right tank fuel gascolator and fuel lines.,Personnel issues - Task performance - Maintenance - Maintenance personnel; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Aircraft - Fluids/misc hardware - Fluids - Fluid condition; Personnel issues - Task performance - Inspection - Pilot,Accident,46.6268,-97.6202,PIPER,PA-22,Airplane,5N4,Enderlin Airport,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Standing; Takeoff,Completed,False,Approved by Office Director,NA,NA,5/13/2024,13-5-2024
CEN24LA239,Accident,194546,2024-06-17,Hebron,ND,USA,NA,N529KC,G10-173,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,46.909659,-101.99133,THRUSH AIRCRAFT INC,S2G,Airplane,NA,NA,False,1,NA,False,Aerial application,137,Substantial,Visual (VMC),AERIAL CROP CARE CO,Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,6/17/2024,17-6-2024
CEN24LA343,Accident,195081,2024-09-06,Grand Forks,ND,USA,NA,N896J,30086,False,Aviation,Aviation,Approved by Office Director,2025-01-10,NA,None,0,0,0,0,0,The student pilot’s failure to maintain helicopter control which resulted in impact with the ground. Contributing to the outcome was the flight instructor’s delayed remedial action.,Personnel issues - Action/decision - Action - Instructor/check pilot; Personnel issues - Task performance - Use of equip/info - Student/instructed pilot; Aircraft - Aircraft oper/perf/capability - (general) - Not attained/maintained,Accident,47.947278,-97.173778,ROBINSON HELICOPTER,R44,Helicopter,GFK,Grand Forks International Airport,False,1,Reciprocating,False,Instructional,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),UNIVERSITY OF NORTH DAKOTA,Maneuvering; Maneuvering; Maneuvering,Completed,False,Approved by Office Director,NA,NA,9/6/2024,6-9-2024
