NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
ERA26LA250,Accident,203259,2026-06-11,Charlotte,VT,USA,NA,N70933,18259423,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,44.292995,-73.277493,CESSNA,182,Airplane,VT12,E A DEEDS FARM,False,1,NA,False,Personal,091,Substantial,Visual (VMC),BETA FLIGHT LLC,Landing,Ongoing,False,Approved by Office Director,NA,NA,6/11/2026,11-6-2026
ERA26LA260,Accident,203317,2026-06-25,Highgate,VT,USA,NA,N4346C,7EC-365,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,1,1,0,NA,NA,Accident,44.934603,-73.096187,CHAMPION,7EC,Airplane,FSO,FRANKLIN COUNTY STATE,False,1,NA,False,Personal,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),HILL H CHARLES II,Landing,Ongoing,False,Approved by Office Director,NA,NA,6/25/2026,25-6-2026
ERA26LA277,Accident,203434,2026-07-20,Morgan,VT,USA,NA,N528MW,NA,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,NA,NA,WAGNER MARK,S-6-S,NA,NA,NA,False,NA,NA,False,NA,NA,NA,NA,NA,Takeoff,Ongoing,False,Approved by Office Director,NA,NA,7/20/2026,20-7-2026
ERA25LA241,Accident,200392,2025-06-26,Burlington,VT,USA,NA,N17N,75-3667,False,Aviation,Aviation,Approved by Office Director,2025-11-14,NA,None,0,0,0,0,0,The pilot’s failure to maintain control of the airplane on landing.,Personnel issues - Task performance - Use of equip/info - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,44,-73,BOEING,A75N1(PT17),Airplane,BTV,PATRICK LEAHY BURLINGTON INTL,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing,Completed,False,Approved by Office Director,NA,NA,6/26/2025,26-6-2025
ERA25LA292,Accident,200747,2025-07-23,Burlington,VT,USA,NA,N112EF,309,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,44,-73,ROCKWELL INTERNATIONAL,112,Airplane,BTV,NA,False,1,NA,False,Personal,091,Substantial,NA,On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,7/23/2025,23-7-2025
ERA25LA303,Accident,200802,2025-08-16,Springfield,VT,USA,NA,N99KG,101A0225,False,Aviation,Aviation,Approved by Office Director,2025-11-20,NA,Serious,0,0,0,1,0,The pilot’s failure to assemble the glider’s elevator control before takeoff.,Aircraft - Aircraft systems - Flight control system - Not installed/available; Personnel issues - Task performance - Inspection - Pilot,Accident,43.345403,-72.514668,CENTRAIR,101A,Glider,VSF,Hartness State Airport (Springfield),False,0,None,False,Personal,091,Substantial,Visual (VMC),On File,Standing; Takeoff; UncontrolledDescent,Completed,False,Approved by Office Director,NA,NA,8/16/2025,16-8-2025
ERA25LA130,Accident,199769,2025-02-26,Manchester,VT,USA,NA,N43DN,28-7310036,False,Aviation,Aviation,Approved by Office Director,2025-05-09,NA,Serious,0,2,1,3,0,"The pilot’s improper decision to continue the visual flight rules flight into instrument meteorological conditions, which resulted in the accumulation of airframe icing and a subsequent aerodynamic stall/spin.",Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Decision related to condition; Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Awareness of condition; Personnel issues - Action/decision - Info processing/decision - Pilot,Accident,43.16949,-73.106384,PIPER,PA-28-235,Airplane,NA,NA,False,1,Reciprocating,False,Personal,091,Substantial,Instrument (IMC); Instrument (IMC),On File,Enroute; Enroute; Enroute; Enroute,Completed,False,Approved by Office Director,NA,NA,2/26/2025,26-2-2025
ERA24FA371,Accident,195076,2024-09-08,Vergennes,VT,USA,NA,N3757T,28R-30066,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,0,0,0,4,0,NA,NA,Accident,44.188818,-73.357341,PIPER,PA28R,Airplane,B06,BASIN HARBOR,False,1,NA,False,Instructional,091,Substantial,Visual (VMC),On File,Unknown,Ongoing,False,Approved by Office Director,NA,NA,9/8/2024,8-9-2024
ERA24LA046,Accident,193415,2023-10-29,Highgate,VT,USA,NA,N289WW; N289WW,39-84; 39-84,False,Aviation,Aviation,Approved by Office Director,2024-01-25,NA,None,0,0,0,0,0,"The pilot’s inadvertent retraction of the landing gear during landing rollout, which resulted in a landing gear collapse.",Personnel issues - Action/decision - Action - Pilot; Aircraft - Aircraft systems - Landing gear system - Unintentional use/operation,Accident,44.940278,-73.097472,PIPER; PIPER,PA-39; PA-39,Airplane; Airplane,FSO,FRANKLIN COUNTY STATE,False,2,Reciprocating; Reciprocating,False,Personal,091; 091,Substantial; Substantial,Visual (VMC); Visual (VMC),On File; On File,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,10/29/2023,29-10-2023
CEN23LA292,Accident,192579,2023-07-05,Burlington,VT,USA,NA,N64AF,17280069,False,Aviation,Aviation,Approved by Office Director,2023-11-16,NA,None,0,0,0,0,0,"The student pilot’s improper landing flare, which resulted in a hard, bounced landing and the flight instructor’s delayed remedial action.",Personnel issues - Action/decision - Info processing/decision - Instructor/check pilot; Personnel issues - Experience/knowledge - Training - Student/instructed pilot; Aircraft - Aircraft oper/perf/capability - (general) - Incorrect use/operation; Environmental issues - Task environment - (general) - Ability to respond/compensate,Accident,44.471955,-73.153276,CESSNA,172R,Airplane,KBVT,Burlington International Airport,False,1,Reciprocating,False,Instructional,091,Substantial,Visual (VMC); Visual (VMC),On File,Landing,Completed,False,Approved by Office Director,NA,NA,7/5/2023,5-7-2023
ERA22LA393,Accident,105836,2022-08-29,Bennington,VT,USA,NA,N3768T,28R-30080,False,Aviation,Aviation,Approved by Office Director,2023-05-11,NA,Minor,0,0,1,1,0,"The pilot’s failure to maintain airspeed during a go-around, resulting in an aerodynamic stall, loss of control, and collision with terrain.",Personnel issues - Task performance - Use of equip/info - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,42.89389,-73.25,PIPER,PA-28R-180,Airplane,DDH,Morse State Airport,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Approach; UncontrolledDescent,Completed,False,Approved by Office Director,NA,NA,8/29/2022,29-8-2022
ERA21LA330,Accident,103723,2021-08-15,North Springfield,VT,USA,NA,N2805H,515,False,Aviation,Aviation,Approved by Office Director,2022-05-17,NA,None,0,0,0,0,0,"The check pilot's failure to account for the extended departure distance from the airport during a simulated tow rope break and recovery. 
",Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Capability exceeded; Personnel issues - Action/decision - Info processing/decision - Instructor/check pilot,Accident,43.352998,-72.506206,SCHWEIZER,SGS 2-33A,Glider,VSF,HARTNESS STATE (SPRINGFIELD),False,0,NA,False,Instructional,091,Substantial,Visual (VMC),CIVIL AIR PATROL,InitialClimb; InitialClimb,Completed,False,Approved by Office Director,NA,NA,8/15/2021,15-8-2021
ERA21LA366,Accident,103890,2021-09-12,Ryegate,VT,USA,NA,N83KX,S-005,False,Aviation,Aviation,Approved by Office Director,2022-05-25,NA,None,0,0,0,0,0,"The pilot's failure to secure himself to the balloon seat which resulted in a loss of control of the balloon.
",Personnel issues - Task performance - Use of equip/info - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Environmental issues - Physical environment - Object/animal/substance - Contributed to outcome,Accident,44.187864,-72.151031,SPROUL KEITH A,83K-16,Balloon,NA,NA,True,0,NA,False,Personal,091,Substantial,Visual (VMC),On File,Landing,Completed,False,Approved by Office Director,NA,NA,9/12/2021,12-9-2021
