NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
ERA26LA073,Accident,202196,2025-12-20,Browns Corner,VA,USA,NA,N54576,17275003,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,37.503354,-77.107748,CESSNA,172P,Airplane,W96,NEW KENT COUNTY,False,1,NA,False,Personal,091,Substantial,NA,RICK AVIATION INC,Enroute,Ongoing,False,Approved by Office Director,NA,NA,12/20/2025,20-12-2025
ERA26LA079,Accident,202223,2025-12-27,Ceres,VA,USA,NA,N89884,8929,False,Aviation,Aviation,Approved by Office Director,2026-05-21,NA,Serious,0,1,1,2,0,"The pilot’s failure to recognize and mitigate carburetor icing, which resulted in a partial loss of engine power and forced landing.",Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Awareness of condition; Personnel issues - Task performance - Use of equip/info - Pilot,Accident,37.016446,-81.343868,CESSNA,140,Airplane,NA,NA,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),VALIAIR LC TRUSTEE,Enroute; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,12/27/2025,27-12-2025
DCA26LA164,Accident,202695,2026-03-24,Dulles,VA,USA,NA,N17316,67596,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,1,0,0,1,NA,NA,Accident,38.945148,-77.44213,BOEING,737-8,Airplane,IAD,WASHINGTON DULLES INTL,False,2,NA,True,NA,121,None,NA,United Airlines,Taxi,Ongoing,False,Approved by Office Director,NA,NA,3/24/2026,24-3-2026
ERA26LA183,Accident,202861,2026-04-18,Richmond,VA,USA,NA,C-GTGR,421C0061,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,37.51463,-77.322265,CESSNA,421,Airplane,RIC,RICHMOND INTL,False,2,NA,False,Business,091,Substantial,Visual (VMC),Manufactures Transport Inc.,Takeoff; Takeoff; Takeoff; Takeoff,Ongoing,False,Approved by Office Director,NA,NA,4/18/2026,18-4-2026
ERA26LA195,Accident,202924,2026-05-01,Bealeton,VA,USA,NA,N602RH,602-0627,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,38.54371,-77.729908,AIR TRACTOR INC,AT-602,Airplane,3VA3,NA,False,1,NA,False,Aerial application,137,Substantial,Visual (VMC),Eastern Aviation LLC,Landing; Maneuvering; Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,5/1/2026,1-5-2026
ERA26LA201,Accident,202959,2026-05-09,Front Royal,VA,USA,NA,N8092S,SKR-0125,False,Aviation,Aviation,Approved by Office Director,2026-06-25,NA,None,0,0,0,0,0,"The pilot’s inadequate preflight inspection, which resulted in him taking off with the fuel selector in the OFF position, and the subsequent total loss of engine power due to fuel starvation.",Aircraft - Aircraft systems - Fuel system - Not used/operated; Personnel issues - Task performance - Inspection - Pilot,Accident,38.9186,-78.253239,SKY RANGER,SKY RANGER 1,Airplane,FRR,FRONT ROYAL-WARREN COUNTY,True,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,InitialClimb; InitialClimb; EmergencyDescent,Completed,False,Approved by Office Director,NA,NA,5/9/2026,9-5-2026
ERA26LA207,Accident,202986,2026-05-12,Scotts Fork,VA,USA,NA,N8217W,357,False,Aviation,Aviation,Approved by Office Director,2026-08-11,NA,Fatal,1,0,0,0,1,The photographer’s failure to remain clear of an active taxiway.,Environmental issues - Physical environment - Object/animal/substance - Awareness of condition,Accident,37.316828,-77.86655,I.C.A.-BRASOV (ROMANIA),IS-28B2,Glider,2VA3,MERLIN AERODROME,False,0,NA,False,Personal,091,Minor,Visual (VMC),On File,Landing,Completed,False,Approved by Office Director,NA,NA,5/12/2026,12-5-2026
ERA26LA220,Accident,203077,2026-05-28,Chesapeake,VA,USA,NA,N55739,28-7305456,False,Aviation,Aviation,Approved by Office Director,2026-07-30,NA,None,0,0,0,0,0,"The pilot’s improper decision to continue with an unstabilized approach, which resulted in a hard landing, loss of directional control, and collision with a runway marker light and sign.",Personnel issues - Action/decision - Info processing/decision - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,36.780765,-76.45128,PIPER,PA-28-180,Airplane,PVG,HAMPTON ROADS EXEC,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),On File,Landing; Landing,Completed,False,Approved by Office Director,NA,NA,5/28/2026,28-5-2026
ERA26LA232,Accident,203134,2026-06-06,Midland,VA,USA,NA,N98RJ,90752,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,38.588918,-77.708098,NORTH AMERICAN,SNJ-5C,Airplane,HWY,Warrenton-Fauquier,False,1,NA,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),WAG AIR LLC,Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,6/6/2026,6-6-2026
ANC26LA066,Accident,203293,2026-06-29,Petersburg,VA,USA,NA,N602RF,40.NC143,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,0,0,2,0,NA,NA,Accident,37.194609,-77.485962,DIAMOND AIRCRAFT IND INC,DA 40 NG,Airplane,PTB,Tri Cities Executive/Dinwiddie County Airport,False,1,NA,False,Instructional,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),RVA FLYBOYS LLC,InitialClimb,Ongoing,False,Approved by Office Director,NA,NA,6/29/2026,29-6-2026
