NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
ERA26LA088,Accident,202274,2026-01-08,Philippi,WV,USA,NA,N29UA,1282,False,Aviation,Aviation,Approved by Office Director,2026-05-14,NA,Minor,0,0,1,1,0,"The pilot’s failure to obtain the proper touchdown point, which resulted in a runway overrun.",Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Action/decision - Info processing/decision - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Capability exceeded,Accident,39.164839,-80.068594,CIRRUS DESIGN CORP,SR22,Airplane,79D,PHILIPPI/BARBOUR COUNTY RGNL,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),N29NY LLC,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,1/8/2026,8-1-2026
ERA26LA141,Accident,202618,2026-03-05,Charleston,WV,USA,NA,N2648Y,31676,False,Aviation,Aviation,Approved by Office Director,2026-05-07,NA,None,0,0,0,0,0,"The pilot’s inadequate visual lookout, which resulted in a collision with a helicopter dolly during taxi.",Personnel issues - Psychological - Attention/monitoring - Pilot; Environmental issues - Physical environment - Object/animal/substance - Awareness of condition,Accident,38.36478,-81.58967,CESSNA,180,Airplane,CRW,WEST VIRGINIA INTL YEAGER,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Taxi,Completed,False,Approved by Office Director,NA,NA,3/5/2026,5-3-2026
DCA26LA159,Accident,202661,2026-03-17,Summit Point,WV,USA,NA,N136ZP; N136ZP; N136ZP; N136ZP,16056PC0007; 16056PC0007; 16056PC0007; 16056PC0007,False,Aviation,Aviation,Approved by Office Director,2026-07-16,NA,None,0,0,0,0,0,"The inaccurate obstacle height entered into mission planning that resulted in the aircraft wing’s impact with a tree during descent, resulting resulted in a loss of control.",Environmental issues - Physical environment - Object/animal/substance - Accuracy of related info; Environmental issues - Physical environment - Object/animal/substance - Effect on equipment,Accident,39.236599,-77.976908,PYKA INC; PYKA INC; PYKA INC; PYKA INC,PELICAN CARGO; PELICAN CARGO; PELICAN CARGO; PELICAN CARGO,Airplane; Airplane; Airplane; Airplane,NA,NA,False,4,Electric; Electric; Electric; Electric,False,Flight test,091; 091; 091; 091,Substantial; Substantial; Substantial; Substantial,Visual (VMC); Visual (VMC),PYKA INC; PYKA INC; PYKA INC; PYKA INC,Approach,Completed,False,Approved by Office Director,NA,NA,3/17/2026,17-3-2026
ERA26LA162,Accident,202766,2026-04-04,Martinsburg,WV,USA,NA,N106D,0899,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,39.383681,-77.994534,GIRARDEAU SAMUEL G,Sonex-A,Airplane,MRB,EASTERN WV RGNL/SHEPHERD FLD,True,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Enroute,Ongoing,False,Approved by Office Director,NA,NA,4/4/2026,4-4-2026
ANC26LA063,Accident,203231,2026-06-21,Windom,WV,USA,NA,N544CD,1544,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,37.598386,-81.565949,CIRRUS DESIGN CORP,SR22,Airplane,I16,KEE FLD,False,1,NA,False,Personal,091,Substantial,Visual (VMC),AEROPLANES LLC,Enroute,Ongoing,False,Approved by Office Director,NA,NA,6/21/2026,21-6-2026
ERA26FA266,Accident,203365,2026-07-10,Huntersville,WV,USA,NA,N93RT,761006,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,1,0,0,1,0,NA,NA,Accident,38.184157,-80.004422,SIKORSKY,S76,Helicopter,NA,NA,False,2,NA,False,Positioning,091,Destroyed,Instrument (IMC),WACO OIL & GAS CO INC,Approach,Ongoing,False,Approved by Office Director,NA,NA,7/10/2026,10-7-2026
ERA26LA283,Accident,203468,2026-07-23,Kearneysville,WV,USA,NA,N6132L,AA1-0332,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,2,0,2,0,NA,NA,Accident,39.323527,-77.976072,AMERICAN,AA-1,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Enroute,Ongoing,False,Approved by Office Director,NA,NA,7/23/2026,23-7-2026
ERA25LA307,Accident,200834,2025-08-08,Wirt County,WV,USA,NA,N60357,E-1478,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,38.919344,-81.336982,BEECH,A36,Airplane,NA,NA,False,1,NA,False,Executive/Corporate,091,Substantial,Visual (VMC); Visual (VMC),CENTRAL FLYING SERVICE LLC,Enroute,Ongoing,False,Approved by Office Director,NA,NA,8/8/2025,8-8-2025
ERA25LA339,Accident,200976,2025-08-24,Charleston,WV,USA,NA,N241MU,10052,False,Aviation,Aviation,Approved by Office Director,2025-12-04,NA,None,0,0,0,0,0,"A flat left main landing gear tire, which resulted in a loss of directional control and runway excursion during landing.",Aircraft - Aircraft systems - Landing gear system - Failure; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Attain/maintain not possible,Accident,38.376013,-81.592894,CIRRUS DESIGN CORP,SR20,Airplane,CRW,WEST VIRGINIA INTL YEAGER,False,1,Reciprocating,False,Instructional,091,Substantial,Visual (VMC); Visual (VMC),MARSHALL UNIVERSITY,Landing; Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,8/24/2025,24-8-2025
ERA25LA013,Accident,195311,2024-10-12,Rowlesburg,WV,USA,NA,N205MX,15006C,False,Aviation,Aviation,Approved by Office Director,2025-01-21,NA,None,0,0,0,0,0,The pilot’s failure to maintain directional control during the landing.,Personnel issues - Task performance - Use of equip/info - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,39.343082,-79.677501,MAULE,M8,Airplane,56WV,CHEAT RIVER ISLAND,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,10/12/2024,12-10-2024
ERA25LA014,Accident,195312,2024-10-12,South Charleston,WV,USA,NA,N1131M,18264228,False,Aviation,Aviation,Approved by Office Director,2025-02-21,NA,Serious,0,2,1,3,0,"The pilot’s decision to continue landing after encountering a strong tailwind, which resulted in a loss of control and subsequent runway excursion.",Environmental issues - Conditions/weather/phenomena - Wind - Response/compensation; Personnel issues - Action/decision - Info processing/decision - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Environmental issues - Conditions/weather/phenomena - Wind - Ability to respond/compensate,Accident,38.336417,-81.740897,CESSNA,182,Airplane,WV12,MALLORY,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,10/12/2024,12-10-2024
ERA25LA015,Accident,195314,2024-10-11,Rowlesburg,WV,USA,NA,N79HY,2289,False,Aviation,Aviation,Approved by Office Director,2025-07-03,NA,None,0,0,0,0,0,"The pilot’s failure to maintain directional control during the landing roll, resulting in the on-ground collision with trees.",Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Task performance - Use of equip/info - Pilot,Accident,39.325622,-79.662111,AVIAT,A1,Airplane,56WV,Cheat River Island Airport,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,10/11/2024,11-10-2024
ERA25LA025,Accident,195387,2024-10-27,Fairmont,WV,USA,NA,N926MK,28-7125138,False,Aviation,Aviation,Approved by Office Director,2025-06-12,NA,None,0,0,0,0,0,"The student pilot’s improper flare, which resulted in a bounced landing and subsequent loss of directional control.",Personnel issues - Task performance - Use of equip/info - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,39.44818,-80.16749,PIPER,PA28,Airplane,4G7,Fairmont Municipal Airport-Frankman Fld.,False,1,Reciprocating,False,Instructional,091,Substantial,Visual (VMC),On File,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,10/27/2024,27-10-2024
ERA25LA032,Accident,195416,2024-10-25,South Charleston,WV,USA,NA,N401G,AT4-007,False,Aviation,Aviation,Approved by Office Director,2025-06-13,NA,Serious,0,1,0,0,1,"The pedestrian’s inadequate visual lookout while walking next to an active runway, which resulted in the airplane striking him during taxi.",Personnel issues - Psychological - Attention/monitoring - Other,Accident,38.334996,-81.740011,AERO SP Z O O,AT-4 LSA,Airplane,WV12,Mallory Airport,False,1,Reciprocating,False,Instructional,091,Minor,Visual (VMC); Visual (VMC); Visual (VMC),On File,Landing,Completed,False,Approved by Office Director,NA,NA,10/25/2024,25-10-2024
ERA25LA047,Accident,195513,2024-11-18,Huntington,WV,USA,NA,N55464,75-272,False,Aviation,Aviation,Approved by Office Director,2026-03-12,NA,None,0,0,0,0,0,"The pilot’s failure to utilize carburetor heat while operating the engine at low power and in conditions conducive to the formation of carburetor ice, which resulted in a total loss of engine power due to carburetor icing.",Aircraft - Aircraft power plant - Engine fuel and control - Incorrect use/operation; Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Contributed to outcome; Personnel issues - Action/decision - Action - Pilot,Accident,38.434006,-82.410832,BOEING,A75N1(PT17),Airplane,NA,NA,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Enroute,Completed,False,Approved by Office Director,NA,NA,11/18/2024,18-11-2024
ERA25LA108,Accident,199643,2025-01-30,Ravenswood,WV,USA,NA,N74608,AA5B0282,False,Aviation,Aviation,Approved by Office Director,2025-04-22,NA,None,0,0,0,0,0,"The pilot’s distraction during taxi, which resulted in a taxiway excursion.",Personnel issues - Psychological - Attention/monitoring - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,38.925574,-81.82329,GRUMMAN AMERICAN AVN. CORP.,AA-5B,Airplane,I18,JACKSON COUNTY,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Taxi,Completed,False,Approved by Office Director,NA,NA,1/30/2025,30-1-2025
